Year,Month,Day,Country,Region,city,latitude,longitude,AttackType,Killed,Wounded,Group,Target_type,Sub_Target,success,suicide,Weapon_type,Sub_Weapon_type,Motive,Summary,addnotes,Total_num,casualities
1972,5,31,Iran,Middle East & North Africa,Tehran,35.696442,51.422973999999996,Assassination,0.0,1.0,Mujahedin-e Khalq (MEK),Military,"Military Personnel (soldiers, troops, officers, forces)",0,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,1.0,1
1972,5,31,Iran,Middle East & North Africa,Tehran,35.696442,51.422973999999996,Bombing/Explosion,1.0,2.0,Mujahedin-e Khalq (MEK),Government (Diplomatic),Embassy/Consulate,1,0,Explosives/Bombs/Dynamite,Dynamite/TNT,,,,3.0,1
1973,1,24,Iran,Middle East & North Africa,Tehran,35.696442,51.422973999999996,Bombing/Explosion,0.0,0.0,Mujahedin-e Khalq (MEK),Airports & Aircraft,Airline Officer/Personnel,1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,0.0,0
1973,6,2,Iran,Middle East & North Africa,Tehran,35.696442,51.422973999999996,Assassination,1.0,0.0,Mujahedin-e Khalq (MEK),Military,"Military Personnel (soldiers, troops, officers, forces)",1,0,Firearms,Handgun,,,,1.0,1
1974,3,7,Iran,Middle East & North Africa,Tehran,35.696442,51.422973999999996,Bombing/Explosion,0.0,0.0,Mujahedin-e Khalq (MEK),Government (Diplomatic),Embassy/Consulate,1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,0.0,0
1974,6,15,United States,North America,Washington,38.890370000000004,-77.031959,Unarmed Assault,0.0,0.0,Anti-Government extremists,Government (General),Judge/Attorney/Court,0,0,Fake Weapons,,,,,0.0,0
1974,8,6,United States,North America,Los Angeles,33.941589,-118.40853,Bombing/Explosion,3.0,36.0,Anti-Government extremists,Airports & Aircraft,Airport,1,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,"The specific motive for this incident is unknown; however, Kurbegovic's views stemmed from an agenda against a judge and commissioners who prevented him from opening up a business, specifically a hall for “taxi dancers,” where women were paid to slow-dance with men.  Additionally, the motivations for his attacks were to repeal immigration and naturalization laws as well as laws about sex.","08/06/1974: Muharem Kurbegovic, also known as ""Isak (Isaac) Rasim"" or the ""alphabet bomber,"" bombed the Pan American terminal of the Los Angeles International Airport in Los Angeles, California, in the United States, killing three people and injuring thirty-six others.  The bomb exploded in one of the coin-operated public lockers near the ticketing area of the terminal, and caused considerable damage including shattering several huge plate glass windows and leaving a 10 by 15 foot hole in the wall.  Kurbegovic apparently belonged to no organization and had no outside support; however, in a tape sent to the Herald-Examiner, he claimed he was the military officer of a group he called ""Aliens of America.""  Kurbegovic became known as the ""alphabet bomber"" because he picked his targets in alphabetical order.","The explosion occurred at 8:10am.  This may be a purely criminal act because Kurbegovic's motivations stemmed from personal vendetta's against a judge and commissioners who would not allow him to open up his own business, though he did have some political motivations as well. Kurbegovic claimed this attack by sending an audiotape to a CBS affiliate explaining his alphabet bombing method.  Kurbegovic also claimed responsibility for other attempted bombings, even though police doubt some of his claims.  Kurbegovic was arrested and eventually convicted in 1980 of 25 counts of Murder, Arson, Illegal Use of Explosives and relate d charges, and sentenced to life in prison.",39.0,1
1974,8,11,Iran,Middle East & North Africa,Tehran,35.696442,51.422973999999996,Assassination,1.0,0.0,Mujahedin-e Khalq (MEK),Business,,1,0,Firearms,Handgun,,,,1.0,1
1974,8,16,United States,North America,Los Angeles,34.053490000000004,-118.245319,Bombing/Explosion,0.0,0.0,Anti-Government extremists,Transportation,Bus Station/Stop,0,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,"The specific motive for this incident is unknown; however, Kurbegovic's views stemmed from an agenda against a judge and commissioners who prevented him from opening up a business, specifically a hall for “taxi dancers,” where women were paid to slow-dance with men.  Additionally, the motivations for his attacks were to repeal immigration and naturalization laws as well as laws about sex.","08/16/1974:  Police discovered and dismantled a 25-pound unexploded bomb in a locker of the Greyhound Bus Depot in Los Angeles, California in the United States.  Though the bomb itself did not explode, the detonator was still set off.  There were no casualties, nor property damage.  This bomb was planted by Muharem Kurbegovic, also known as ""Isak (Isaac) Rasim"" or the ""alphabet bomber,"" who claimed the attempted bombing in a tape recording sent to the Herald-Examiner, identifying the locker where the bomb could be found.  This was the second bombing in a series that would spell out the name of his group ""Aliens for America,"" using the locations of the bombs.","This may be a purely criminal act because Kurbegovic's motivations stemmed from personal vendetta's against a judge and commissioners who would not allow him to open up his own business, though he did have some political motivations as well.   Kurbegovic claimed this attack by sending a tape recording to  the Herald-Examiner, explaining his alphabet bombing method.  Kurbegovic was also responsible for the bombing of the Pan Am terminal in the LA Airport just 10 days earlier, which caused 3 deaths and 36 injuries (197408060004).  Additionally, he claimed responsibility for other attempted bombings, even though police doubt some of his claims.  Kurbegovic was arrested and eventually convicted in 1980 of 25 counts of Murder, Arson, Illegal Use of Explosives and relate d charges, and sentenced to life in prison.",0.0,0
1974,10,29,Iran,Middle East & North Africa,Tehran,35.696442,51.422973999999996,Facility/Infrastructure Attack,0.0,0.0,Mujahedin-e Khalq (MEK),Business,Multinational Corporation,1,0,Incendiary,,,,,0.0,0
