,Year,State,Death_Cause,Deaths,Population
0,1999,Alabama,suicide,436,4430141
1,1999,Alabama,homicide,293,4430141
2,1999,Alaska,suicide,55,624779
3,1999,Alaska,homicide,27,624779
4,1999,Arizona,suicide,477,5023823
5,1999,Arizona,homicide,303,5023823
6,1999,Arkansas,suicide,236,2651860
7,1999,Arkansas,homicide,120,2651860
8,1999,California,suicide,1534,33499204
9,1999,California,homicide,1387,33499204
10,1999,Colorado,suicide,316,4226018
11,1999,Colorado,homicide,122,4226018
12,1999,Connecticut,suicide,111,3386401
13,1999,Connecticut,homicide,84,3386401
14,1999,Delaware,suicide,44,774990
15,1999,Delaware,homicide,18,774990
16,1999,District of Columbia,suicide,13,570213
17,1999,District of Columbia,homicide,145,570213
18,1999,Florida,suicide,1138,15759421
19,1999,Florida,homicide,547,15759421
20,1999,Georgia,suicide,630,8045965
21,1999,Georgia,homicide,440,8045965
22,1999,Hawaii,suicide,24,1210300
23,1999,Hawaii,homicide,19,1210300
24,1999,Idaho,suicide,127,1275674
25,1999,Idaho,homicide,16,1275674
26,1999,Illinois,suicide,481,12359020
27,1999,Illinois,homicide,690,12359020
28,1999,Indiana,suicide,372,6044969
29,1999,Indiana,homicide,271,6044969
30,1999,Iowa,suicide,169,2917634
31,1999,Iowa,homicide,28,2917634
32,1999,Kansas,suicide,169,2678338
33,1999,Kansas,homicide,88,2678338
34,1999,Kentucky,suicide,337,4018053
35,1999,Kentucky,homicide,142,4018053
36,1999,Louisiana,suicide,389,4460811
37,1999,Louisiana,homicide,343,4460811
38,1999,Maine,suicide,92,1266808
39,1999,Maine,homicide,15,1266808
40,1999,Maryland,suicide,242,5254509
41,1999,Maryland,homicide,396,5254509
42,1999,Massachusetts,suicide,118,6317345
43,1999,Massachusetts,homicide,71,6317345
44,1999,Michigan,suicide,550,9897116
45,1999,Michigan,homicide,517,9897116
46,1999,Minnesota,suicide,233,4873481
47,1999,Minnesota,homicide,54,4873481
48,1999,Mississippi,suicide,246,2828408
49,1999,Mississippi,homicide,215,2828408
50,1999,Missouri,suicide,428,5561948
51,1999,Missouri,homicide,245,5561948
52,1999,Montana,suicide,96,897507
53,1999,Montana,homicide,17,897507
54,1999,Nebraska,suicide,109,1704764
55,1999,Nebraska,homicide,29,1704764
56,1999,Nevada,suicide,259,1934718
57,1999,Nevada,homicide,102,1934718
58,1999,New Hampshire,suicide,64,1222014
59,1999,New Jersey,suicide,195,8359592
60,1999,New Jersey,homicide,153,8359592
61,1999,New Mexico,suicide,180,1808082
62,1999,New Mexico,homicide,91,1808082
63,1999,New York,suicide,439,18882725
64,1999,New York,homicide,544,18882725
65,1999,North Carolina,suicide,572,7949361
66,1999,North Carolina,homicide,461,7949361
67,1999,North Dakota,suicide,39,644259
68,1999,Ohio,suicide,631,11335454
69,1999,Ohio,homicide,256,11335454
70,1999,Oklahoma,suicide,323,3437147
71,1999,Oklahoma,homicide,150,3437147
72,1999,Oregon,suicide,310,3393941
73,1999,Oregon,homicide,60,3393941
74,1999,Pennsylvania,suicide,711,12263805
75,1999,Pennsylvania,homicide,430,12263805
76,1999,Rhode Island,suicide,35,1040402
77,1999,Rhode Island,homicide,21,1040402
78,1999,South Carolina,suicide,287,3974682
